year,HI,AK,FL,SC,GA,AL,NC,TN,RI,CT,MA,ME,NH,VT,NY,NJ,PA,DE,MD,WV,KY,OH,MI,WY,MT,ID,WA,DC,TX,CA,AZ,NV,UT,CO,NM,OR,ND,SD,NE,IA,MS,IN,IL,MN,WI,MO,AR,OK,KS,LS,VA
1997,2894,425393,522116,153917,371376,324158,215634,282395,117707,144708,402629,6290,20848,8061,1324164,717011,706230,46511,212017,159504,227931,897693,994342,100950,59851,68669,256366,34105,4116722,2146211,134706,132128,165253,314486,256464,185069,56179,36115,132221,254489,255475,556624,1077139,354092,400651,283294,260113,567050,338231,1661061,248960
1998,2654,434871,503844,159458,368579,329134,214092,279070,130751,131497,358846,5716,19127,7735,1232473,679619,644017,40809,188552,142860,205129,811384,876444,109188,59840,69277,290229,30409,4205459,2309883,158355,148539,169776,330259,245823,229403,49541,33042,130730,232057,241342,521748,957254,330513,368022,258652,266485,575855,326674,1569190,260332
1999,3115,422816,559366,162926,337576,337270,217159,278841,118001,152237,344790,6572,20313,8033,1274162,715630,688740,56013,196350,139961,218399,841966,951143,96726,62129,70672,287302,32281,4009689,2339521,165076,154689,159889,333085,236264,235009,56418,35794,121487,230691,306733,556932,1004281,344591,380560,265798,252853,538329,302932,1495478,276793
2000,2841,427288,541847,160436,413845,353614,233714,270658,88419,159712,343314,44779,24950,10426,1244746,605275,702847,48387,212133,147854,225168,890962,963136,101314,67955,72697,286653,33468,4421777,2508797,205235,189170,164557,367920,266469,224888,56528,37939,126962,232565,300652,570558,1030604,362025,393601,284763,251329,538563,312369,1536725,268770
2001,2818,408960,543143,141785,351109,332693,207108,255990,95607,146278,349103,95733,23398,7919,1171898,564923,634794,50113,178376,141090,208974,804243,906001,98569,65051,80279,312114,29802,4252152,2464565,240812,176835,159299,463738,266283,229665,60819,37077,121984,224336,332589,501711,951616,340911,359784,283793,227943,491458,272500,1219013,237853
2002,2734,419131,689337,184803,383546,379343,235376,255515,87805,177587,393194,101536,24901,8367,1199632,598602,675583,52216,196276,146455,227920,830955,966354,112872,69532,71481,233716,32898,4303831,2273193,250734,176596,163379,459397,235098,202164,66726,41577,120333,226457,343890,539034,1049878,371583,385310,275629,242325,508298,304992,1341444,258202
2003,2732,414234,689986,146641,379761,350345,218642,257315,78456,154075,403991,70832,54147,8400,1101618,612890,689992,46177,197024,126986,223226,848388,924819,115358,68473,69868,249599,32814,4050632,2269405,272921,185846,154125,436253,221021,212556,60907,43881,118922,230161,265842,527037,998486,371261,394711,262529,246916,540103,281346,1233505,262970
2004,2774,406319,734178,163787,394986,382367,224796,231133,72609,162642,372532,72565,61172,8685,1098056,620806,696175,48057,194725,122267,225470,825753,916629,107060,66829,75335,262485,32227,3908243,2406889,349622,214984,155891,440378,223575,234997,59986,41679,115011,226819,282051,526701,953207,359898,383316,263945,215124,538576,256779,1281428,277434
2005,2795,432972,778209,172032,412560,353156,229715,230338,80764,168067,378068,57835,70484,8372,1080215,602388,691591,46904,202509,117136,234080,825961,913827,108314,68355,74540,264754,32085,3503636,2248256,321584,227149,160275,470321,220717,232562,53050,42555,119070,241340,301663,531111,969642,367825,410250,268040,213609,582536,255123,1254370,299746
2006,2783,373850,891611,174806,420469,391093,223032,221626,77204,172682,370664,49605,62549,8056,1097160,547206,659754,43190,182294,113084,211049,742359,803336,108481,73879,75709,263395,29049,3432236,2315721,358069,249608,187399,450832,223636,222608,53336,40739,129885,238454,307305,496303,893997,352570,372462,252697,233868,624400,264253,1217871,274175
