date,U.S. ,East Coast ,New England,Connecticut ,Maine ,Massachusetts ,New Hampshire ,Rhode Island ,Vermont ,Central Atlantic ,Delaware ,District of Columbia ,Maryland ,New Jersey ,New York ,Pennsylvania ,Lower Atlantic,Florida ,Georgia ,North Carolina ,South Carolina ,Virginia ,West Virginia ,Midwest,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Michigan ,Minnesota ,Missouri ,Nebraska ,North Dakota ,Ohio ,Oklahoma ,South Dakota ,Tennessee ,Wisconsin ,Gulf Coast,Alabama ,Arkansas ,Louisiana ,Mississippi ,New Mexico ,Texas ,Rocky Mountain ,Colorado ,Idaho ,Montana ,Utah ,Wyoming ,West Coast ,Alaska ,Arizona ,California ,Hawaii ,Nevada ,Oregon ,Washington 
1983,287126.3,97335.4,12668.4,3249.6,1530.4,5844,598.1,1138.7,307.8,43435.3,967.5,421.8,4897.3,11677.7,12209.8,13261.1,41231.6,13656,7506.1,7919.3,4014.4,6563.6,1572.3,86919.7,11068.5,6428.3,3609.5,5229.5,4511.4,10658.1,6513,6052.3,2024.9,1123.6,11720.8,4937,1037.7,6830.2,5174.9,47705.5,4645.3,3013.9,5898.6,3399.1,2183.3,28565.3,9170.3,3869.4,1212.3,1344.8,1914.8,829,45995.3,975.3,3685.7,30432,865.7,1132.5,3393.1,5511.1
1984,292841.4,98114.3,13217.9,3618.1,1488.3,5961.6,637.6,1208.7,303.6,43051.8,791.1,422,4879.1,11884.4,12619.3,12455.9,41844.6,13642,7699.2,8084,4058.9,6705.6,1655,89907.8,11398.2,6541.1,3883.1,5874.6,4360.3,10804.1,6575.5,6375.7,1996.7,1161,12288.7,4980.1,1041.4,7167.2,5460.2,47860.2,4722.7,3092.8,5880.3,3413.2,2197,28554,9520.1,4273.5,1124.1,1380.2,1922.9,819.3,47439,1007,3843.8,31543.1,931.9,1249.4,3550,5313.7
1985,309627.2,104054.1,12821.7,3337.7,1437.5,5980.9,662.6,1126.4,276.6,47535.2,991.6,410.8,5038.6,13278.8,15610.5,12205,43697.1,14427.5,8078.7,8269.9,4083.8,7282.8,1554.3,91884.2,11022.5,6897.7,3948.6,6271.3,4471.5,11139.3,6646.6,6548.6,1923.8,1077.4,12599.8,5411,1039.3,7327,5559.9,52973.7,4741.2,3024.8,6387.8,3563.4,2155.9,33100.6,10179,4596.6,1106.2,1393.1,2245.9,837.2,50536.3,1047.4,4219.3,33980.9,935.4,1461.9,3445.3,5446.1
1986,314488.7,102545.7,13393.2,3433.4,1446.9,6236.6,718.4,1272.4,285.4,43535.1,607.8,404.9,5124.2,11473.3,12769.6,13155.2,45617.5,14953.3,8637.1,8603.7,4174.4,7599.8,1649.3,92494.7,10738.3,6747.1,3966.1,6343.4,4832,11403.3,6157.8,6910.3,2017.1,1056.5,12757.9,5576.2,1022.8,7431.4,5534.6,57076.7,4996.4,3091.9,6908.9,4000.6,2101.6,35977.3,10148.1,4652.9,1228.6,1300.4,2155.8,810.4,52223.5,716.7,4422.8,35348.6,935,1518.8,3495.4,5786.1
1987,317555.9,108315.4,14935.6,3658.2,1712.6,6879.4,864.2,1506.1,315.2,45253.2,859.4,461.7,5105.6,11861,13617.8,13347.7,48126.7,16062.7,9127.9,8940.8,4470.3,7766.9,1758.1,90062.5,11172.8,6724.6,3573.2,4547.1,4915.6,11260.7,5380.1,6637.6,2008.9,946.8,13145.5,5656.5,980.1,7640.7,5472.2,55522,5319.4,3342.4,6572.9,4428.6,2129.9,33728.8,9931.2,4440.5,1225.7,1277.4,2170.9,816.7,53724.8,641,4357.8,36365.1,905.4,1645.6,3620.6,6189.2
1988,329770.9,114220,15900.7,3780.3,1863.9,7200.9,958.3,1572.6,524.6,48321.7,975.4,497.3,5214.4,13045.6,14604.1,13984.9,49997.7,16908.5,9343.4,9214.7,4542.3,8261.3,1727.5,93440.1,11829.2,7147.5,3682.9,4542.6,5052.9,11785.6,5534.1,6985.3,2116.4,916.3,13711.9,5681.4,1014.1,7808.5,5631.3,57693.4,5922.9,3348.7,6620.2,4246.9,2159.8,35394.9,9960.1,4399.3,1229,1280.3,2227.5,824,54457.4,634.9,4529.5,36826.8,944,1677.8,3658,6186.3
1989,331959.1,115245.1,15631.9,3678.1,1962.7,6915,958.7,1648.1,469.3,49575.1,1066.2,467.2,5394.2,14420.9,14492.1,13734.5,50038,16757.6,9374.8,9219.1,4697.7,8403.9,1584.9,95631.6,13449.8,7372.5,3842.1,4300.8,4952.2,11638.3,5517.1,6990.5,2067.2,927.9,14438.6,5600.2,1028.8,7844,5661.6,54573.9,5307.2,3588,6812,3666.6,2036.3,33163.7,9797.7,4292.9,1259.7,1253.8,2237.6,753.7,56710.8,645.1,4487.7,38354.4,962.5,1815,3740,6706.1
1990,335818.8,115810.4,16277,3705.7,2154.3,7169.4,1062.5,1590.9,594.1,48096.1,1032.6,443.6,5549.8,13578.5,14141.7,13349.9,51437.3,17095.3,9676.4,9456.4,4955.4,8605,1648.8,94354.5,13209.5,7267.2,3886.9,4146.1,4944.1,11686.7,5409.4,6928.5,2019.1,876.5,13529.4,5761,1030.4,7842.9,5816.9,56204,5250.7,3814.5,6967.1,3594.8,2044.8,34532.2,9852.3,4268,1322.9,1282.7,2259.6,719.1,59597.5,613.7,4710.7,40675.5,964.8,1955.7,3874.2,6803.1
1991,330203.7,113806.8,15674.9,3838.4,2019.2,6510.3,1120.7,1595.8,590.6,46279.9,1022.5,445.5,5541,12677.5,13596.7,12996.7,51852,17453.8,9733,9455.5,4886,8683.5,1640.3,92611.3,12513.9,6864.1,3780.7,3671.5,4924,11602.8,5390.1,6885.7,1984.3,884.7,13260.3,6063.2,1041.8,7893.8,5850.4,54226.2,5251.7,3615.5,6687.6,3706.7,2079.3,32885.4,9814.4,4245.3,1363.3,1284.3,2177.3,744.1,59745,632.3,4804,40728.3,1016,1991.8,3889,6683.6
1992,329882.8,112270.1,15621.6,3783,2021.7,6476.6,1192.2,1556.3,591.7,45442.9,1067.3,455.9,5337.3,11538.1,13473.6,13570.7,51205.6,16845.7,9692,9436.6,4974.2,8597.5,1659.6,95085.3,13233.8,7276.6,3782.3,3886,5046.7,11909.3,5429.6,6898.7,2023.8,917.1,13157.2,6550.4,1100.8,7955.8,5917.1,54601.2,5424.6,3783.1,6463.8,4240.1,2153.4,32536.2,10220.8,4532.5,1368,1281.2,2270.5,768.6,57705.4,636.6,4366.2,39401.6,1018,1907.1,3693.3,6682.6
